Rule ID,Category,Scope,Severity,Name,Trigger / Threshold,Engines,Description
clipped-overflow-container,quality,layout,warning,Positioned child clipped by overflow container,"Container with overflow hidden or clip on either axis and no scroll on any axis, not an intentional viewport clip, that contains an absolutely or fixed positioned non-decorative child which escapes (or whose style implies escaping) the clip.","browser, static-html","A clipping container (overflow hidden or clip) wrapping an absolutely-positioned child cuts off tooltips, menus, and popovers that need to escape. Let the overflow be visible, or move the positioned layer out of the clip."
design-system-font,quality,type,warning,Font outside DESIGN.md,A primary font-family in source (or a Google Fonts URL family) that is not declared in DESIGN.md typography.,"browser, static-html, text",A font is used that is not declared in DESIGN.md typography. Use the documented type system or update DESIGN.md if this is an intentional brand addition.
design-system-color,quality,,advisory,Color outside DESIGN.md,"A color value that is not in DESIGN.md's palette, compared per channel with COLOR_CHANNEL_TOLERANCE = 6 (and SHADOW_ALPHA_TOLERANCE = 0.02 for shadow alphas).","browser, static-html, text","A literal color is outside the DESIGN.md palette and sidecar tonal ramps. This may be legitimate, but it should be an intentional design-system addition rather than drift."
design-system-radius,quality,,advisory,Radius outside DESIGN.md,"A border-radius token outside DESIGN.md's rounded scale, compared with RADIUS_TOLERANCE_PX = 0.5.","browser, static-html, text",A border-radius value is outside the DESIGN.md rounded scale. Use a documented radius token or update the design system if the new shape is intentional.
design-system-font-size,quality,type,advisory,Font size outside DESIGN.md,"A font-size off DESIGN.md's type ramp, compared with FONT_SIZE_TOLERANCE_PX = 0.5. Fluid clamp() values are checked at both endpoints and reported per off-ramp endpoint.","browser, text",A literal font-size is off the type ramp documented in DESIGN.md typography. Use a documented size step or update the design system if the new step is intentional.
gpt-thin-border-wide-shadow,slop,,advisory,Hairline border with wide shadow,">= 2 visible thin borders (width > 0 and <= 1.5px, color alpha >= 0.28) on the same element together with a box-shadow whose max blur is >= 16px (shadow alpha >= 0.12).","browser, static-html","A hairline border paired with a wide, diffuse shadow is a recurring generated-UI signature. Commit to one — a defined edge or a soft elevation — rather than both at once."
repeating-stripes-gradient,slop,,advisory,Repeating-gradient stripes,"Any repeating-linear-gradient(, repeating-radial-gradient( or repeating-conic-gradient( in style text.","browser, static-html",Repeating-gradient stripes used as surface decoration are a recurring generated-UI signature. Reach for a deliberate texture or leave the surface plain.
codex-grid-background,slop,,advisory,Decorative grid-line background,"A CSS block whose background declarations contain >= 2 hairline gradient stops AND a px-sized tile cell (background-size or a px shorthand). A single hairline is a divider, not a grid.","browser, static-html, text","A decorative grid or line-field background drawn with hairline linear-gradient layers tiled by a fixed pixel cell is a recurring generated-UI signature. Reserve grid overlays for actual canvas, map, blueprint, or measurement surfaces; elsewhere use product structure or a plain surface."
theater-slop-phrase,slop,,advisory,Theater framing copy,"Body text (script and style stripped) matching /\b(\w+)\s+theater\b/i — e.g. ""security theater"", ""compliance theater"".","browser, static-html","Dismissing something as ""theater"" is a recurring generated-copy tic. Say plainly what the thing does or does not do."
image-hover-transform,slop,,advisory,Image hover transform,"CSS rule matching img...:hover { ... transform: scale|rotate|translate|matrix|skew ... }, or an <img> whose class list carries a Tailwind hover:scale-/rotate-/translate-/skew- utility.","browser, static-html","Scaling or rotating an image on hover is a recurring generated-UI signature. Let imagery sit still, or use a subtler, purposeful interaction."
